FID,County name,Province name,Storage potential-DSA (Mt),Storage potential-EOR (Mt),Storage potential-ALL (Mt),Injection rate capability-DSA (Mt/a),Injection rate capability-EOR (Mt/a)
453,Pingnan County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
454,Qintang District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
455,Yuicai District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
456,Gongcheng Yao Autonomous County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
457,Guanyang County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
458,Lipu City,Guangxi Zhuang Autonomous Region,0,0,0,0,0
459,Lingui District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
460,Lingchuan County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
461,Longsheng Autonomous County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
462,Pingle County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
463,Qixing District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
464,Quanzhou County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
465,Xiangshan District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
466,Xing'an County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
467,Xiufeng District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
468,Yanshan District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
469,Yangshuo County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
470,Yongfu County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
471,Resources County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
472,Bama Yao Autonomous County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
473,Dahua Yao Autonomous County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
474,Donglan County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
475,Du'an Yao Autonomous County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
476,Fengshan County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
477,Huanjiang Maonan Autonomous County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
478,Jinchengjiang District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
479,Luocheng Mulao Autonomous County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
480,Nandan County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
481,Tian'e County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
482,Yizhou District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
483,Babu District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
484,Buchuan Yao Autonomous County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
485,Pinggui District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
486,Zhaoping County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
487,Zhongshan,Guangxi Zhuang Autonomous Region,0,0,0,0,0
488,Heshan City,Guangxi Zhuang Autonomous Region,0,0,0,0,0
489,Jinxiu Yao Autonomous County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
490,Wuxuan County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
491,Xiangzhou County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
492,Xincheng County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
493,Xingbin District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
494,Chengzhong District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
